cores,TestSizePre,TestSizeMain,time write,goToStart write,lostTime write,time mixed,goToStart mixed,lostTime mixed,time check,goToStart check,lostTime check
64,2000,4000,32,0,0,76,0,0,48,0,0
64,4000,8000,120,0,0,346,0,0,220,0,0
64,8000,16000,473,0,0,1446,0,0,961,0,0
64,16000,32000,2033,0,0,6691,0,0,4649,0,0
64,32000,64000,8232,0,0,29412,0,0,20872,0,0
64,32000,64000,8801,0,0,29146,0,0,20654,0,0
64,32000,64000,8371,0,0,29467,0,0,20777,0,0
64,32000,64000,8768,0,0,31784,0,0,21146,0,0
64,32000,64000,8319,0,0,29757,0,0,21077,0,0
64,64000,128000,38990,0,0,134454,0,0,93293,0,0
64,64000,128000,39001,0,0,132934,0,0,92678,0,0
64,64000,128000,39205,0,0,133299,0,0,92954,0,0
64,64000,128000,37938,0,0,131541,0,0,92134,0,0
64,64000,128000,38940,0,0,133697,0,0,93212,0,0
1,64000,128000,27111,0,0,91624,0,0,54089,0,0
1,64000,128000,27903,0,0,90117,0,0,55205,0,0
1,64000,128000,27628,0,0,88888,0,0,57099,0,0
1,64000,128000,27964,0,0,89979,0,0,55664,0,0
1,64000,128000,27752,0,0,88990,0,0,56968,0,0
1,64000,128000,28610,0,0,89631,0,0,55473,0,0
1,64000,128000,28739,0,0,92199,0,0,54197,0,0
1,64000,128000,29420,0,0,92581,0,0,53866,0,0
1,64000,128000,29135,0,0,92764,0,0,54409,0,0
1,64000,128000,28105,0,0,94112,0,0,54143,0,0
1,64000,128000,28677,0,0,93211,0,0,54672,0,0
1,64000,128000,28305,0,0,90609,0,0,57904,0,0
1,64000,128000,28769,0,0,93190,0,0,54889,0,0
1,64000,128000,27932,0,0,90355,0,0,58651,0,0
1,64000,128000,28083,0,0,90237,0,0,58601,0,0
1,64000,128000,28017,0,0,92542,0,0,56893,0,0
1,64000,128000,28925,0,0,91697,0,0,56836,0,0
1,64000,128000,28898,0,0,93348,0,0,55747,0,0
1,64000,128000,28321,0,0,93599,0,0,56167,0,0
1,64000,128000,27712,0,0,91334,0,0,60108,0,0
1,64000,128000,28638,0,0,92270,0,0,58219,0,0
1,64000,128000,29069,0,0,94479,0,0,55753,0,0
1,64000,128000,29076,0,0,95626,0,0,54846,0,0
1,64000,128000,29572,0,0,96059,0,0,54336,0,0
1,64000,128000,28678,0,0,92981,0,0,58434,0,0
1,64000,128000,28318,0,0,93826,0,0,58064,0,0
1,64000,128000,29626,0,0,94625,0,0,56376,0,0
1,64000,128000,28469,0,0,91822,0,0,60685,0,0
1,64000,128000,27444,0,0,92754,0,0,61398,0,0
1,64000,128000,28646,0,0,92974,0,0,60528,0,0
1,64000,128000,28509,0,0,92232,0,0,61974,0,0
1,64000,128000,28630,0,0,93458,0,0,60599,0,0
1,64000,128000,28553,0,0,93293,0,0,62000,0,0
1,64000,128000,28555,0,0,94816,0,0,60777,0,0
1,64000,128000,28601,0,0,94223,0,0,61785,0,0
1,64000,128000,28699,0,0,93991,0,0,62531,0,0
1,64000,128000,28498,0,0,95874,0,0,61312,0,0
1,64000,128000,28509,0,0,96050,0,0,61320,0,0
1,64000,128000,28283,0,0,95413,0,0,63083,0,0
1,64000,128000,28568,0,0,95207,0,0,63336,0,0
1,64000,128000,29266,0,0,99282,0,0,60026,0,0
1,64000,128000,28525,0,0,98251,0,0,62319,0,0
1,64000,128000,28720,0,0,98598,0,0,62062,0,0
1,64000,128000,27935,0,0,102630,0,0,64020,0,0
1,64000,128000,27680,0,0,100638,0,0,67118,0,0
1,64000,128000,28532,0,0,101416,0,0,66572,0,0
1,64000,128000,28250,0,0,107503,0,0,63458,0,0
1,64000,128000,28144,0,0,106321,0,0,64991,0,0
1,64000,128000,27806,0,0,105767,0,0,68157,0,0
1,64000,128000,28022,0,0,107982,0,0,65866,0,0
1,64000,128000,28318,0,0,105896,0,0,67683,0,0
1,64000,128000,28364,0,0,107789,0,0,65834,0,0
1,64000,128000,28462,0,0,108927,0,0,64915,0,0
1,64000,128000,28763,0,0,110635,0,0,64376,0,0
1,64000,128000,28256,0,0,112318,0,0,64182,0,0
1,64000,128000,28819,0,0,113445,0,0,63216,0,0
1,64000,128000,29066,0,0,112714,0,0,64092,0,0
1,64000,128000,28655,0,0,112096,0,0,65228,0,0
1,64000,128000,28143,0,0,115355,0,0,63961,0,0
1,64000,128000,28494,0,0,110651,0,0,68508,0,0
1,64000,128000,28300,0,0,111570,0,0,68200,0,0
