cores,TestSizePre,TestSizeMain,time write,goToStart write,lostTime write,time mixed,goToStart mixed,lostTime mixed,time check,goToStart check,lostTime check
64,2000,4000,1,22,0.000178,4,3,0.000123,1,0,0
64,4000,8000,6,25,0.000226,15,1,8.3e-05,6,0,0
64,8000,16000,23,22,0.000288,57,1,0.002737,31,0,0
64,16000,32000,82,22,0.000386,220,0,0.000118,131,0,0
64,32000,64000,386,21,0.000313,947,0,0,585,0,0
64,64000,128000,1526,19,0.000368,3788,0,6e-05,2341,0,0
64,128000,256000,6501,141,0.016746,16940,0,0,14418,0,0
64,128000,256000,6909,145,0.010463,16998,0,0,13410,0,0
64,128000,256000,6800,116,0.007607,16478,0,0,12580,0,0
64,128000,256000,7169,144,0.023046,16490,0,0,12221,0,0
64,128000,256000,6383,140,0.00971,16200,0,0,12271,0,0
64,128000,256000,6620,142,0.00943,16368,0,0,12720,0,0
64,128000,256000,6465,120,0.006352,15935,1,0.003474,13427,0,0
64,128000,256000,6557,109,0.00674,15856,0,0,12591,0,0
64,128000,256000,6446,111,0.007484,16174,0,0,13703,0,0
64,128000,256000,7038,122,0.008527,16388,0,0,13250,0,0
64,256000,512000,30549,101,0.014555,91102,1,0.007653,59729,0,0
64,256000,512000,29774,99,0.007495,93523,2,0.012737,62724,0,0
64,256000,512000,29809,116,0.059115,96869,1,0.010196,64100,0,0
64,256000,512000,31240,104,0.011742,91839,0,0,61263,0,0
64,256000,512000,32966,108,0.011798,93372,2,0.01923,62637,0,0
64,256000,512000,30555,130,0.018921,93525,0,0,61695,0,0
64,256000,512000,31549,121,0.02877,96948,1,0.002137,63764,0,0
64,170000,340000,10911,133,0.052158,28843,0,0,18566,0,0
64,170000,340000,11474,107,0.009279,28301,0,0,17702,0,0
64,170000,340000,11924,138,0.009065,29416,0,0,18392,0,0
64,170000,340000,11216,108,0.005993,28108,0,0,17274,0,0
64,170000,340000,11435,112,0.011886,29105,0,0,18256,0,0
64,212000,424000,19296,133,0.007257,51226,0,0,34509,0,0
64,212000,424000,18626,131,0.0516,51780,0,0,34988,0,0
64,212000,424000,18210,107,0.041271,49094,1,0.005778,31417,0,0
64,212000,424000,18684,138,0.012311,49502,1,0.004609,34352,0,0
64,212000,424000,17662,115,0.006247,48689,0,0,31490,0,0
64,96000,192000,3825,132,0.007805,8697,0,0,5954,0,0
64,96000,192000,3981,153,0.022858,8828,0,0,5912,0,0
64,96000,192000,3450,112,0.037959,8554,0,0,5684,0,0
64,96000,192000,3758,150,0.011801,8571,0,0,5344,0,0
64,96000,192000,3709,129,0.006715,9413,0,0,5876,0,0
2,20000,40000,1180,2,7e-06,3699,0,0,1820,0,0
2,20000,40000,1096,0,0,3470,0,0,1683,0,0
2,20000,40000,1131,2,0,3557,0,0,1737,0,0
2,20000,40000,1155,1,1e-06,3566,0,0,1753,0,0
2,20000,40000,1012,2,0,3252,0,0,1526,0,0
2,20000,40000,1124,1,0,3536,0,0,1710,0,0
2,20000,40000,1129,3,7e-06,3546,0,0,1740,0,0
2,20000,40000,1135,1,2e-06,3571,0,0,1735,0,0
2,20000,40000,1126,0,0,3503,0,0,1687,0,0
2,20000,40000,1113,4,2e-06,3553,0,0,1730,0,0
4,20000,40000,632,7,2.8e-05,1799,0,0,869,0,0
4,20000,40000,616,3,3e-06,1776,0,0,857,0,0
4,20000,40000,650,0,0,1801,0,0,857,0,0
4,20000,40000,632,2,4e-06,1825,0,0,868,0,0
4,20000,40000,638,2,4e-06,1817,0,0,876,0,0
4,20000,40000,609,4,7e-06,1766,0,0,836,0,0
4,20000,40000,645,7,4e-06,1854,0,0,907,0,0
4,20000,40000,625,2,2e-06,1813,0,0,876,0,0
4,20000,40000,624,2,4e-06,1807,0,0,867,0,0
4,20000,40000,650,3,1e-06,1874,0,0,925,0,0
8,20000,40000,312,3,8.4e-05,954,0,0,455,0,0
8,20000,40000,327,2,8e-06,970,0,0,470,0,0
8,20000,40000,313,4,4.1e-05,968,0,0,459,0,0
