cores,TestSizePre,TestSizeMain,time write,goToStart write,lostTime write,time mixed,goToStart mixed,lostTime mixed,time check,goToStart check,lostTime check
64,2000,4000,15,184,0.000352,11,2,3.1e-05,7,0,0
64,4000,8000,11,57,0.000835,23,3,0.000824,10,0,0
64,8000,16000,27,35,0.001118,61,0,0,42,0,0
64,16000,32000,89,100,0.000746,219,1,0.000285,159,0,0
64,32000,64000,351,23,0.000496,891,0,0,696,0,0
64,2000,4000,15,222,0.000448,12,0,0,10,0,0
64,4000,8000,19,191,0.004194,32,2,7e-05,15,0,0
64,8000,16000,34,182,0.002441,69,0,0,44,0,0
64,16000,32000,111,94,0.001825,250,0,0,146,0,0
64,32000,64000,385,57,0.000811,894,0,0,617,0,0
64,2000,4000,14,210,0.00078,15,0,0,8,0,0
64,4000,8000,13,51,0.000408,28,0,0,14,0,0
64,8000,16000,36,107,0.004522,77,0,0,44,0,0
64,16000,32000,122,66,0.00173,265,2,0.000732,154,0,0
64,32000,64000,502,75,0.000854,894,0,0,611,0,0
64,2000,4000,19,112,0.000269,14,1,8e-06,9,0,0
64,4000,8000,14,17,0.000203,31,1,5.9e-05,19,0,0
64,8000,16000,39,175,0.001533,68,0,0,45,0,0
64,16000,32000,115,85,0.001119,261,0,0,165,0,0
64,32000,64000,444,64,0.000767,885,1,0.007279,635,0,0
64,2000,4000,16,184,0.001593,13,2,3.3e-05,8,0,0
64,4000,8000,8,53,0.001568,16,2,0.000119,10,0,0
64,8000,16000,22,83,0.001769,60,3,0.000233,34,0,0
64,16000,32000,85,62,0.000897,227,1,0.000327,167,0,0
64,32000,64000,341,94,0.001789,892,0,0,601,0,0
64,2000,4000,16,209,0.000149,14,0,0,9,0,0
64,4000,8000,15,74,0.000879,39,3,6.7e-05,21,0,0
64,8000,16000,40,45,0.002962,70,0,0,44,0,0
64,16000,32000,102,73,0.001062,224,0,0,148,0,0
64,32000,64000,349,55,0.000638,886,0,0,624,0,0
64,2000,4000,14,276,0.000346,14,3,0.0001,8,0,0
64,4000,8000,14,64,0.001365,22,2,0.000116,10,0,0
64,8000,16000,30,39,0.000823,59,2,0.000271,41,0,0
64,16000,32000,94,59,0.001264,216,0,0,145,0,0
64,32000,64000,417,31,0.000478,884,0,0,625,0,0
64,2000,4000,14,164,0.000516,12,0,0,9,0,0
