cores,TestSizePre,TestSizeMain,time write,goToStart write,lostTime write,time mixed,goToStart mixed,lostTime mixed,time check,goToStart check,lostTime check
64,2000,4000,21,231,0.000431,25,91,0.000495,11,0,0
64,4000,8000,23,232,0.002154,61,134,0.001517,26,0,0
64,8000,16000,47,237,0.00696,110,57,0.006891,64,0,0
64,16000,32000,160,269,0.009854,398,79,0.022606,283,0,0
64,32000,64000,688,320,0.021695,1690,94,0.053166,1178,0,0
64,64000,128000,2858,336,0.04845,6951,80,0.091555,4868,0,0
64,2000,4000,17,186,0.000459,25,132,0.000536,16,0,0
64,4000,8000,21,255,0.003091,44,162,0.002036,21,0,0
64,8000,16000,46,229,0.008397,128,81,0.006372,66,0,0
64,16000,32000,207,350,0.014941,400,89,0.025891,282,0,0
64,32000,64000,734,391,0.022609,1703,66,0.038884,1183,0,0
64,64000,128000,2850,394,0.055928,6985,85,0.094152,4897,0,0
64,2000,4000,18,276,0.000218,23,43,0.000457,8,0,0
64,4000,8000,22,301,0.004287,45,144,0.001834,16,0,0
64,8000,16000,47,262,0.007103,115,76,0.00601,72,0,0
64,16000,32000,181,317,0.011045,395,89,0.024737,280,0,0
64,32000,64000,657,417,0.025942,1686,85,0.04538,1190,0,0
64,64000,128000,2774,390,0.037979,6941,58,0.066562,4859,0,0
64,2000,4000,20,231,0.000154,29,52,0.000381,12,0,0
64,4000,8000,19,220,0.002741,48,111,0.001497,19,0,0
64,8000,16000,46,272,0.006417,111,74,0.007315,63,0,0
64,16000,32000,180,349,0.014988,400,88,0.022979,279,0,0
64,32000,64000,671,303,0.023941,1675,89,0.052248,1176,0,0
64,64000,128000,2741,337,0.050823,6939,88,0.098646,4911,0,0
64,2000,4000,17,241,0.001162,28,78,0.000125,13,0,0
64,4000,8000,22,220,0.004045,47,149,0.002174,20,0,0
64,8000,16000,48,345,0.007147,108,70,0.007992,62,0,0
64,16000,32000,172,317,0.013136,396,83,0.021787,276,0,0
64,32000,64000,660,284,0.022455,1679,75,0.03911,1178,0,0
64,64000,128000,2789,410,0.042494,6954,89,0.096428,4928,0,0
64,2000,4000,21,241,0.000691,26,92,0.000327,10,0,0
64,4000,8000,15,260,0.004011,46,157,0.001368,20,0,0
64,8000,16000,57,256,0.006187,118,68,0.007664,66,0,0
64,16000,32000,176,213,0.008769,393,78,0.020259,276,0,0
